"symbol" "AS2.logFC.30" "AS2.q.30" "AS2.logFC.60" "AS2.q.60" "AS2.logFC.120" "AS2.120.q" "KAN.logFC.30" "KAN.q.30" "KAN.logFC.60" "KAN.q.60" "KAN.logFC.120" "KAN.120.q" "REV.logFC.30" "REV.q.30" "REV.logFC.60" "REV.q.60" "REV.logFC.120" "REV.120.q" "STM.logFC.30" "STM.q.30" "STM.logFC.60" "STM.q.60" "STM.logFC.120" "STM.120.q" "WT.logFC.30" "WT.q.30" "WT.logFC.60" "WT.q.60" "WT.120.logFC" "WT.120.q"
"AT1G01720" "NAC002" 0.193 0.877 0.459 0.444 0.472 0.339 1.08 0.005 1.389 0.002 1.853 0.002 -0.235 0.94 0.349 0.805 0.909 0.015 -0.021 0.987 0.422 0.309 0.612 0.066 0.239 0.999 0.488 0.763 0.696 0.283
"AT1G13520" "AT1G13520" 1.509 0.08 3.702 0.004 2.763 0.004 0.803 0.358 2.785 0.002 2.593 0.002 -0.59 0.843 1.287 0.072 1.478 0.023 0.761 0.18 1.001 0.038 1.93 0.002 1.92 0.025 2.55 0.015 2.455 0.015
"AT1G14870" "PCR2" 1.152 0.004 2.067 0.004 1.229 0.004 0.6 0.091 1.273 0.002 1.384 0.002 0.832 0.023 1.712 0.005 2.352 0.005 1.053 0.002 0.768 0.009 1.261 0.002 1.04 0.015 1.512 0.015 1.565 0.015
"AT1G19020" "AT1G19020" 1.145 0.004 1.715 0.004 1.674 0.004 1.042 0.002 2.127 0.002 1.946 0.002 0.684 0.113 0.802 0.018 0.921 0.005 1.566 0.002 0.672 0.022 2.123 0.002 1.96 0.015 1.631 0.015 1.976 0.015
"AT1G21100" "AT1G21100" 0.514 0.467 1.184 0.004 0.532 0.331 0.729 0.008 1.72 0.002 1.114 0.002 -0.185 0.963 1.049 0.049 0.514 0.521 0.216 0.731 -0.019 0.987 0.914 0.002 1.006 0.015 1.343 0.015 0.844 0.025
"AT1G21110" "AT1G21110" 2.18 0.004 2.568 0.004 2.076 0.004 1.955 0.002 3.234 0.002 2.545 0.002 0.088 0.997 2.241 0.005 1.263 0.005 1.072 0.002 0.298 0.492 1.828 0.002 2.184 0.015 1.991 0.015 1.708 0.015
"AT1G21120" "AT1G21120" 2.939 0.004 3.592 0.004 3.212 0.004 2.941 0.002 4.406 0.002 3.843 0.002 0.201 0.948 2.117 0.005 1.234 0.005 1.744 0.002 0.684 0.019 2.372 0.002 2.758 0.015 2.6 0.015 2.317 0.015
"AT1G26380" "AT1G26380" 1.659 0.004 3.267 0.004 2.855 0.004 3.016 0.002 5.047 0.002 4.83 0.002 -0.468 0.665 2.177 0.005 2.271 0.005 1.361 0.002 0.852 0.004 3.052 0.002 2.171 0.015 2.802 0.015 2.957 0.015
"AT1G26410" "AT1G26410" 2.358 0.008 3.725 0.004 3.255 0.004 1.044 1 4.034 0.002 3.833 0.002 -1.055 0.397 1.629 0.005 1.724 0.005 1.474 0.006 0.453 0.625 2.678 0.002 1.172 1 2.051 0.033 2.336 0.015
"AT1G30700" "AT1G30700" 0.723 0.1 1.7 0.004 0.893 0.004 0.789 0.025 1.761 0.002 1.248 0.002 0.377 0.786 1.235 0.005 0.865 0.035 0.688 0.021 0.582 0.064 0.438 0.243 0.495 0.551 1.234 0.015 0.76 0.048
"AT1G53990" "GLIP3" 0.63 0.52 2.016 0.004 0.955 0.123 0.953 0.203 2.134 0.002 1.761 0.002 0.822 0.678 3.202 0.005 2.524 0.005 1.124 0.06 1.209 0.038 2.095 0.002 1.046 0.338 1.952 0.015 1.741 0.015
"AT2G30750" "CYP71A12" 1.518 0.004 3.048 0.004 3.376 0.004 1.059 0.135 3.237 0.002 4.151 0.002 -0.961 0.084 -0.048 0.999 1.254 0.005 2.487 0.002 0 0.996 2.927 0.002 2.206 0.015 2.217 0.015 3.785 0.015
"AT2G44130" "AT2G44130" 0.552 0.416 2.134 0.004 2.622 0.004 1.103 0.006 2.193 0.002 3.145 0.002 0.878 0.192 1.701 0.005 2.082 0.005 0.955 0.004 1.973 0.002 2.574 0.002 1.037 0.015 2.064 0.015 2.659 0.015
"AT2G44370" "AT2G44370" 0.882 0.171 1.831 0.004 1.104 0.02 1.182 0.002 1.129 0.005 1.192 0.002 0.959 0.046 1.804 0.005 1.284 0.005 0.962 0.002 0.576 0.165 0.202 0.8 0.644 0.34 0.663 0.308 0.871 0.041
"AT3G13310" "AT3G13310" 1.583 0.004 1.796 0.004 3.006 0.004 2.794 0.002 3.347 0.002 4.274 0.002 1.552 0.005 2.709 0.005 3.095 0.005 0.638 0.068 2.13 0.002 2.896 0.002 1.318 0.015 2.004 0.015 2.483 0.015
"AT3G22060" "CRRSP38" 0.844 0.06 1.67 0.004 2.369 0.004 1.157 0.002 0.849 0.015 1.451 0.002 -0.189 0.96 0.314 0.771 1.414 0.005 0.437 0.285 0.15 0.841 1.17 0.002 0.312 0.977 0.324 0.947 1.631 0.015
"AT3G22800" "LRX6" 0.458 0.455 1.364 0.004 0.246 0.776 0.184 0.856 -0.172 0.876 0.789 0.019 0.041 0.999 1.255 0.005 0.299 0.868 0.172 0.81 -0.308 0.563 0.708 0.023 1.206 0.015 -0.082 0.999 1.062 0.015
