"symbol" "WT.mean" "WT.sd" "logFC.group" "logFC.30" "logFC.60" "logFC.120" "p.30" "p.60" "p.120" "q.30" "q.60" "q.120" "R2.group" "R2.E" "R2.M" "R2.L"
"AT1G01010" "NAC001" 2.60127579166667 0.455242417972531 "M" -0.357652 -0.475996 -0.290426 0.2013 0.05955 0.2466 0.820627 0.553715 0.860837 "E" 0.499714058971607 0.474251636681907 0.485931805386476
"AT1G01020" "ARV1" 8.818479875 1.86676029220508 "M" 0.038173 0.168832 0.121193 0.8848 0.4997 0.61915 0.998621 0.968404 0.986175 "M" 0.0174580314497065 0.107537168835811 0.0730101671378114
"AT1G01030" "NGA3" 2.342852875 0.635108244361084 "L" 0.0887201 -0.0224118 0.105712 0.745 0.9243 0.67015 0.998445 0.998621 0.991795 "L" 0.00321764008985903 0.00157923086138345 0.0073835841580745
"AT1G01040" "DCL1" 0.748404354166667 0.248068305803155 "E" 0.273399 -0.179166 0.090004 0.822 0.8881 0.93975 0.998621 0.998621 0.998621 "E" 0.135752077031085 0.0295713886669594 0.00258482155579742
"AT1G01050" "PPA1" 117.677440416667 27.6099670283477 "M" -0.0403615 0.37096 0.218766 0.8954 0.16835 0.41085 0.998621 0.784866 0.946112 "M" 0.061623239273578 0.144544358536772 0.0924649394501369
"AT1G01060" "LHY" 14.9332811666667 4.03597085655423 "E" 0.526243 0.269283 0.462261 0.027 0.21185 0.02985 0.382982 0.830849 0.402518 "E" 0.286862535266111 0.147770687500401 0.285661315034352
"AT1G01070" "AT1G01070" 9.935587125 2.08135131577553 "L" -0.268908 -0.21844 -0.962604 0.2703 0.3246 0.00015 0.875235 0.909661 0.0123802 "L" 0.00737593022003924 0.0345267847483122 0.499133717511544
"AT1G01080" "AT1G01080" 22.6629091666667 4.62525648084883 "M" 0.397585 0.403832 0.193662 0.09205 0.0543 0.3588 0.647389 0.533057 0.924959 "M" 0.295441289905505 0.298628087217601 0.209085775087183
"AT1G01090" "PDH-E1 ALPHA" 135.632881666667 21.3885293726674 "E" 0.27171 0.0763897 0.0713783 0.3954 0.7832 0.803 0.940875 0.998621 0.998621 "E" 0.176672396320981 0.0937952953880886 0.0570121607824478
"AT1G01100" "RPP1A" 484.543916666667 248.353219459042 "M" 0.473957 0.495457 0.146449 0.2097 0.15005 0.65895 0.828497 0.759579 0.990359 "M" 0.306741612579177 0.351169837099614 0.177464832033573
"AT1G01110" "IQD18" 1.20071303333333 0.257077904906014 "M" 0.0049173 -0.615889 -0.0739461 0.9916 0.10265 0.83895 0.998621 0.673525 0.998621 "M" 0.0352795876645599 0.225008289722519 0.0872030257954252
"AT1G01120" "KCS1" 6.24736491666667 1.48429537135135 "M" 0.0329418 -0.856104 0.105729 0.8915 0.00025 0.6325 0.998621 0.0181786 0.987032 "M" 0.0800568685462661 0.362949882930881 0.0578619177437703
"AT1G01130" "AT1G01130" 4.28286084166667 1.95271969150903 "E" 1.10651 -0.0647405 -0.447214 0.01935 0.87505 0.3458 0.319653 0.998621 0.919471 "E" 0.56248974516764 0.193546384230814 0.16017529721593
"AT1G01140" "CIPK9" 13.8231350416667 2.76414549219341 "L" -0.0479279 -0.345615 -0.937611 0.8341 0.08905 5e-05 0.998621 0.641328 0.00512634 "M" 0.136642809185062 0.920511405628877 0.916658401694465
"AT1G01160" "GIF2" 14.4893894166667 3.65216355671246 "L" -0.192883 0.0681106 -0.215724 0.7681 0.90785 0.70955 0.998621 0.998621 0.995734 "L" 0.0962429451201099 0.0795893786516638 0.23543920930029
"AT1G01170" "AT1G01170" 180.850145 62.6629965728095 "M" 0.274322 0.451289 0.151988 0.35345 0.0913 0.5713 0.922346 0.64615 0.979882 "M" 0.259761857229601 0.412989638425871 0.201385313566596
"AT1G01180" "AT1G01180" 7.9958845 2.56237938523977 "L" -0.211481 -0.593991 -0.646009 0.4433 0.0221 0.01395 0.955427 0.346057 0.268678 "M" 0.0369470923519222 0.769036006893644 0.75158640379333
"AT1G01190" "CYP78A8" 1.50941242083333 0.515359488339356 "L" -0.808248 -0.908617 -1.41274 0.02745 0.0084 5e-04 0.386392 0.200167 0.0302842 "E" 0.654504390694355 0.570081455270551 0.629731742667156
"AT1G01200" "RABA3" 0.879941179166667 0.36077474628349 "L" 0.177575 -0.166835 0.235602 1 1 1 1 1 1 "L" 0.00735751520878991 0.0165081449144019 0.0257666085659293
"AT1G01210" "AT1G01210" 28.3378645833333 6.64522783577808 "M" 0.0830215 0.150238 0.100274 0.7185 0.4672 0.6266 0.996625 0.961364 0.986531 "M" 0.121252116699138 0.181941204797337 0.12473423918993
"AT1G01220" "FKGP" 2.251590125 0.574430286331128 "M" -0.0112974 -0.376212 -0.0610356 0.96345 0.09995 0.7816 0.998621 0.667959 0.998621 "M" 5.16796526128793e-07 0.314566839240387 0.142203240804007
"AT1G01230" "AT1G01230" 31.1822725 5.67853923010996 "E" -0.3073 0.172811 -0.00500241 0.1913 0.41625 0.98185 0.810508 0.947897 0.998621 "E" 0.232080897298505 0.0683870229857253 0.010799872703747
"AT1G01240" "AT1G01240" 8.17963041666667 2.08590397896285 "L" -0.127038 0.0283702 -0.284995 0.6178 0.89665 0.21455 0.986175 0.998621 0.833445 "L" 0.00882837313109086 0.0495119109715945 0.213985870530574
"AT1G01250" "ERF023" 1.4386186875 0.731241691634396 "E" -0.441185 -0.0522632 -0.41924 1 1 1 1 1 1 "L" 0.0667122544608273 0.00316165757874443 0.0953556366065801
